age,prob_man,lives_man,life_exp_man,prob_woman,lives_woman,life_exp_woman
68,0.019519,75950,15.97,0.012158,85103,18.31
69,0.020847,74468,15.28,0.013312,84069,17.52
70,0.022381,72915,14.59,0.014673,82950,16.75
71,0.024185,71283,13.91,0.016221,81733,16.00
72,0.026266,69559,13.25,0.017905,80407,15.25
73,0.028660,67732,12.59,0.019714,78967,14.52
74,0.031401,65791,11.95,0.021714,77410,13.80
75,0.034618,63725,11.32,0.024080,75729,13.10
76,0.038263,61519,10.71,0.026831,73906,12.41
77,0.042190,59165,10.11,0.029855,71923,11.74
78,0.046367,56669,9.54,0.033151,69776,11.08
79,0.050948,54041,8.97,0.036829,67463,10.45
80,0.056237,51288,8.43,0.041122,64978,9.83
81,0.062360,48404,7.90,0.046102,62306,9.23
82,0.069226,45385,7.39,0.051683,59434,8.65
83,0.076884,42243,6.91,0.057896,56362,8.09
84,0.085452,38996,6.44,0.064863,53099,7.56
85,0.095062,35663,6.00,0.072731,49655,7.05
86,0.105829,32273,5.57,0.081626,46043,6.56
87,0.117838,28858,5.17,0.091644,42285,6.10
88,0.131138,25457,4.80,0.102840,38410,5.67
89,0.145751,22119,4.45,0.115236,34460,5.26
90,0.161678,18895,4.12,0.128837,30489,4.88
91,0.178905,15840,3.82,0.143633,26561,4.52
92,0.197408,13006,3.54,0.159606,22746,4.20
93,0.217149,10439,3.29,0.176731,19115,3.90
94,0.238080,8172,3.06,0.194973,15737,3.63
95,0.258821,6226,2.86,0.213413,12669,3.39
96,0.278966,4615,2.69,0.231752,9965,3.17
97,0.298092,3327,2.54,0.249663,7656,2.98
98,0.315762,2336,2.40,0.266801,5744,2.81
99,0.331550,1598,2.28,0.282809,4212,2.65
100,0.348128,1068,2.16,0.299778,3021,2.49
101,0.365534,696,2.05,0.317765,2115,2.34
102,0.383811,442,1.94,0.336830,1443,2.20
103,0.403001,272,1.83,0.357040,957,2.07
104,0.423151,163,1.73,0.378463,615,1.94
105,0.444309,94,1.63,0.401170,382,1.82
106,0.466524,52,1.54,0.425241,229,1.70
107,0.489851,28,1.45,0.450755,132,1.59
108,0.514343,14,1.37,0.477800,72,1.48
109,0.540060,7,1.28,0.506468,38,1.38
110,0.567063,3,1.21,0.536857,19,1.28
111,0.595417,1,1.13,0.569068,9,1.19
112,0.625187,1,1.06,0.603212,4,1.10
113,0.656447,0,0.99,0.639405,1,1.02
114,0.689269,0,0.92,0.677769,1,0.94
115,0.723732,0,0.86,0.718435,0,0.87
116,0.759919,0,0.80,0.759919,0,0.80
117,0.797915,0,0.74,0.797915,0,0.74
118,0.837811,0,0.68,0.837811,0,0.68
119,0.879701,0,0.63,0.879701,0,0.63
